rank,category,DCI
244,1.4065077347447166,281212
245,1.4060336887653428,290911
246,1.405932628117177,681512
247,1.4058504789586699,903082
248,1.4052266393746142,400520
249,1.4050218081085255,845710
250,1.4046916369510802,690911
251,1.4037396333856968,370296
252,1.4035606513448533,854520
253,1.4035276972845865,722211
254,1.4025617921670377,901290
255,1.4015166560865906,845961
256,1.399319864228881,290391
257,1.3987272640340545,848299
258,1.3971098517724743,480640
259,1.396663291276849,291620
260,1.3954197203826082,870880
261,1.3946909521680375,740822
262,1.3946607768692727,841940
263,1.3916602359337091,846029
264,1.386271562133251,902789
265,1.3862390964442963,392091
266,1.385367586163192,846263
267,1.3826147421004196,382740
268,1.3824510986526504,847529
269,1.3819035634629793,701710
270,1.378896096157907,291590
271,1.3788309465116597,290529
272,1.3777325610901225,290311
273,1.3766763710498697,810419
274,1.3762316346973114,854040
275,1.3758236050353765,870893
276,1.375212130931736,292143
277,1.3742133657571622,722990
278,1.3726462561074007,370254
279,1.3722886813367283,293336
280,1.3710224092122798,848350
281,1.3690773853803966,392099
282,1.3684388577139996,844110
283,1.368317950641974,854310
284,1.3675277267452521,848420
285,1.3671156764931722,846630
286,1.3667397149744926,722020
287,1.3667273352776999,293371
288,1.3659003093644426,844513
289,1.3658933203177341,902230
290,1.3656330911018735,290399
291,1.3651446384679475,903149
292,1.3628725528703127,381111
293,1.3620110689175964,290359
294,1.361978801989848,850520
295,1.3607015582120618,290351
296,1.3603448043887585,290729
297,1.3578501272421912,847990
298,1.3574409322649985,854060
299,1.3570255729281109,820740
300,1.3553380606118361,820291
301,1.355183122577195,820220
302,1.3546619930458894,292219
303,1.3541769210452117,902790
304,1.3537185405997618,820150
305,1.3528208765707237,731824
306,1.3510734032774134,550319
307,1.349740633327992,690912
308,1.3490254960664367,854130
309,1.3483934726778093,870323
310,1.3477369240186985,871000
311,1.3460873126829003,380120
312,1.345744789296107,591000
313,1.3455625561346285,847730
314,1.34422740142547,390940
315,1.343197729888366,870340
316,1.3415727416465488,370298
317,1.3410117541321238,293143
318,1.3408222638347598,854914
319,1.3406535002809574,870130
320,1.3351770250049,290341
321,1.3351679679007171,721114
322,1.3350137583015356,292159
323,1.334679101769451,400291
324,1.3345832322264037,390810
325,1.3327846950440616,292640
326,1.3323385100300855,820411
327,1.3320939675465264,722090
328,1.3318198726181467,847141
329,1.3306832618510025,902480
330,1.3306300286249444,284990
331,1.3301153131827737,901520
332,1.3300526653261948,701720
333,1.3295594040559875,844820
334,1.3295464186151593,390729
335,1.3273359692827174,370253
336,1.3262905381220271,292243
337,1.3260892550625334,250860
338,1.3248796731846686,292149
339,1.3233595351865055,10514
340,1.321951237735201,391110
341,1.3218464136469745,844811
342,1.3211294737758297,591132
343,1.3209403024052326,845430
344,1.3207409114414073,902410
345,1.3207308877124697,720826
346,1.3204418168849963,480610
347,1.319594118717741,841861
348,1.3195284478588376,293972
349,1.3189374373203588,731511
350,1.3184352805845592,901814
351,1.3179075122547668,848280
352,1.317744706856838,721891
353,1.3175778876542372,846799
354,1.3164707763189243,811229
355,1.3129821462393898,600536
356,1.3123074504785142,811249
357,1.3121545766712512,820750
358,1.3121254867879149,293080
359,1.3109893046573469,841360
360,1.3109603391062037,902131
361,1.3075960852961965,291429
362,1.3073693783861184,292521
363,1.3073065645306572,843353
364,1.3067682205779696,722220
365,1.306150842271698,441882
366,1.3061474989739492,721914
367,1.3049016679139485,290250
368,1.3035798691225498,730722
369,1.3035561274341552,844900
370,1.3027264936821707,846693
371,1.301706866178542,902730
372,1.300630280826141,870350
373,1.2993550058292318,291614
374,1.299253789861334,853941
375,1.2989653116827824,300693
376,1.2989110677384792,731823
377,1.2988311829149337,290383
378,1.2987014070159737,240499
379,1.2984828724935458,710700
380,1.2971923566166237,284210
381,1.2965548829479754,722519
382,1.2955190803387093,903220
383,1.2938046904324443,844849
384,1.2935308351934547,902750
385,1.2930662692154358,291524
386,1.2928787075665404,846290
387,1.2928073961336435,390690
388,1.2925510174159789,293141
389,1.292087417705495,284290
390,1.2913170257854525,902212
391,1.2913047041642558,854159
392,1.2891553338540247,810110
393,1.2889743615609306,841939
394,1.288500255849344,911440
395,1.2883768201876795,848071
396,1.288154565286549,721050
397,1.2875912598213743,902214
398,1.2869624564803985,291419
399,1.2866705693941611,370130
400,1.2847693661209696,291100
401,1.283509788018735,481151
402,1.282873676386229,291532
403,1.2826878596204583,291560
404,1.2824913214183729,293152
405,1.2812097265981899,854121
406,1.2810374966521958,810931
407,1.2809357344195733,290522
408,1.2803860570347658,852411
409,1.2795735890911746,391190
410,1.2779651420881801,847510
411,1.2776598692696335,290379
412,1.2773876486355709,550311
413,1.2741578751320302,844090
414,1.2732323402231422,382213
415,1.2725938921029254,282300
416,1.272526032621042,480261
417,1.2723828677023048,848120
418,1.272324453445363,290270
419,1.271100319948351,292129
420,1.268514141509334,293969
421,1.267732040008584,910890
422,1.2668144572474267,730729
423,1.2667475331399727,902610
424,1.2657143307429566,901210
425,1.2648745793570455,902229
426,1.2643203556284472,848190
427,1.2623726739172525,843311
428,1.2618207019104812,842199
429,1.260914577508776,880260
430,1.2603693537131742,842211
431,1.2598027374480312,281215
432,1.259471804989267,848320
433,1.2589440720590999,870840
434,1.2577353455285742,284190
435,1.2570164226856226,845650
436,1.2564858322532306,848580
437,1.2563000701862492,848230
438,1.2562333086096467,842890
439,1.2557134538138703,840140
440,1.2552094353095846,284420
441,1.2546592276550366,292910
442,1.2536989370757705,390920
443,1.2535355096642413,900130
444,1.2528580556698152,901120
445,1.25134286991225,847740
446,1.2499763521019827,391000
447,1.2498999855689357,300431
448,1.249419694864936,902620
449,1.2473270739474704,853949
450,1.2468265444799234,391990
451,1.2443601132895528,381900
452,1.2442217773374902,901190
453,1.242130930831628,841480
454,1.2419255845015047,290551
455,1.24175019670162,290719
